Date,Open,High,Low,Close,Adj Close,Volume
2023-09-30,4.077209,4.115924,4.074867,4.105618,4.105618,51458101
2023-10-01,4.105477,4.279937,4.103880,4.261009,4.261009,82943342
2023-10-02,4.260790,4.297646,4.103482,4.123762,4.123762,115298155
2023-10-03,4.123038,4.159030,4.056304,4.074247,4.074247,59966101
2023-10-04,4.074287,4.075451,3.994714,4.047316,4.047316,73143922
2023-10-05,4.047332,4.072005,4.010641,4.022738,4.022738,56530006
2023-10-06,4.022652,4.092491,4.006032,4.072149,4.072149,52328321
2023-10-07,4.072028,4.111029,4.054784,4.056447,4.056447,40367505
2023-10-08,4.055929,4.073116,4.006164,4.014286,4.014286,50702115
2023-10-09,4.014154,4.027660,3.794306,3.877219,3.877219,111810840
2023-10-10,3.877038,3.891209,3.784758,3.812432,3.812432,73969885
2023-10-11,3.812494,3.821716,3.705352,3.738058,3.738058,76263823
2023-10-12,3.737694,3.738851,3.641686,3.673597,3.673597,76835167
2023-10-13,3.673635,3.762178,3.670195,3.721198,3.721198,60969633
2023-10-14,3.721599,3.759431,3.720974,3.736276,3.736276,40015361
2023-10-15,3.736321,3.773152,3.712030,3.754978,3.754978,55133272
2023-10-16,3.755053,3.871039,3.742241,3.786211,3.786211,104165497
2023-10-17,3.785982,3.785982,3.662231,3.675057,3.675057,72585706
2023-10-18,3.675154,3.720717,3.636680,3.656549,3.656549,62395387
2023-10-19,3.656433,3.657439,3.607706,3.648878,3.648878,78858521
2023-10-20,3.649169,3.798369,3.641499,3.721275,3.721275,103783716
2023-10-21,3.721239,3.966395,3.712710,3.904405,3.904405,102109347
2023-10-22,3.905255,3.967974,3.820571,3.964716,3.964716,102800544
2023-10-23,3.981359,4.348273,3.931133,4.348273,4.348273,279500647
2023-10-24,4.349509,4.400952,4.134200,4.186614,4.186614,287578869
2023-10-25,4.186937,4.347059,4.159365,4.285054,4.285054,191355809
2023-10-26,4.285379,4.409787,4.170871,4.236406,4.236406,196562760
2023-10-27,4.236472,4.236472,4.065490,4.139360,4.139360,157567536
2023-10-28,4.139181,4.221338,4.135637,4.180108,4.180108,98811863
2023-10-29,4.180194,4.350804,4.150013,4.312546,4.312546,114199710
2023-10-30,4.312788,4.528045,4.244029,4.527799,4.527799,189424182
2023-10-31,4.527865,4.595821,4.322356,4.451180,4.451180,197568842
2023-11-01,4.451050,4.795651,4.334122,4.730910,4.730910,240014626
2023-11-02,4.730876,4.795107,4.557127,4.635324,4.635324,215676198
2023-11-03,4.635338,4.639012,4.481237,4.615494,4.615494,157624901
2023-11-04,4.615282,4.768822,4.595697,4.691026,4.691026,129760785
2023-11-05,4.690704,4.899320,4.670992,4.773220,4.773220,205523537
2023-11-06,4.772786,4.985403,4.701943,4.968373,4.968373,188597116
2023-11-07,4.968561,5.004223,4.737155,4.931488,4.931488,208520335
2023-11-08,4.931319,5.081772,4.872838,5.053585,5.053585,213839664
2023-11-09,5.052426,5.253760,4.796288,5.087355,5.087355,371195493
2023-11-10,5.087687,5.309339,5.011777,5.300801,5.300801,285459747
2023-11-11,5.300643,5.657641,5.120489,5.553165,5.553165,410791406
2023-11-12,5.553712,5.846567,5.392653,5.707890,5.707890,396517036
